,gst (mol/m2s),tleaf(degC),par(micromol/m2),gblc(mol/m2s),An(micromol/m2s)
5717,0.10434,12.635,83.72,0.72363,1.1741
5718,0.14025,15.036,425.04,0.91757,7.8822
5719,0.19459,17.988,850.08,0.87362,16.366
5720,0.29449,21.191,1249.4,0.89873,30.321
5721,0.31847,23.241,1629.3,0.87362,33.492
5722,0.32753,24.028,1680.8,0.84576,34.675
5723,0.33605,25.351,1983.5,0.80214,35.782
5724,0.33622,25.667,1919.1,0.74691,35.804
5725,0.3352,25.951,1880.5,0.68225,35.671
5726,0.32479,24.893,1455.4,0.62737,34.317
5727,0.32115,24.655,1403.9,0.59373,33.841
5728,0.31105,23.229,1069.0,0.59084,32.517
5729,0.21664,21.723,669.76,0.5672,19.58
5730,0.13487,20.255,276.92,0.54233,6.9714
5731,0.10005,17.506,32.2,0.5488,-0.69235
5732,0.10005,16.345,0.0,0.58209,-1.6262
5733,0.10005,15.607,0.0,0.59084,-1.5744
5734,0.10005,14.974,0.0,0.59084,-1.5313
5735,0.10005,14.373,0.0,0.59947,-1.4915
5736,0.10005,13.717,0.0,0.60515,-1.4492
5737,0.10005,13.072,0.0,0.61078,-1.4088
5738,0.10005,12.436,0.0,0.61078,-1.3701
5739,0.10005,11.743,0.0,0.61078,-1.3291
5740,0.10005,11.002,0.0,0.60515,-1.2866
5741,0.10455,11.474,83.72,0.5732,1.2212
5742,0.14241,15.224,431.48,0.80427,8.2415
5743,0.19717,18.081,869.4,0.8417,16.752
5744,0.29864,21.545,1307.3,0.90631,30.874
5745,0.31886,23.272,1577.8,0.93786,33.539
5746,0.33035,24.277,1732.4,0.96129,35.042
5747,0.33757,24.924,1771.0,0.9859,35.981
5748,0.34805,26.14,2112.3,1.0014,37.332
5749,0.34865,26.219,1990.0,0.99969,37.41
5750,0.34719,26.096,1835.4,0.98068,37.222
5751,0.34059,25.396,1500.5,0.93969,36.371
5752,0.33127,24.36,1146.3,0.89108,35.163
5753,0.23038,23.265,727.72,0.7914,21.538
5754,0.13843,20.933,296.24,0.62189,7.5763
5755,0.10005,17.25,32.2,0.63009,-0.67509
5756,0.10005,16.061,0.0,0.66959,-1.606
5757,0.10005,15.45,0.0,0.7093,-1.5636
5758,0.10005,14.955,0.0,0.74461,-1.53
5759,0.10005,14.371,0.0,0.75147,-1.4913
5760,0.10005,13.682,0.0,0.73769,-1.447
5761,0.10005,13.01,0.0,0.72126,-1.405
5762,0.10005,12.359,0.0,0.69221,-1.3655
5763,0.10005,11.767,0.0,0.67973,-1.3305
5764,0.10005,11.526,0.0,0.72599,-1.3166
5765,0.10269,12.678,70.84,0.91196,0.77931
5766,0.14073,15.075,392.84,1.0756,7.9617
5767,0.20044,18.189,850.08,1.0579,17.234
5768,0.30052,21.704,1217.2,1.2341,31.123
5769,0.32694,23.978,1507.0,1.2804,34.6
5770,0.34518,25.621,1790.3,1.2669,36.962
5771,0.35471,26.536,1841.8,1.2575,38.189
5772,0.35948,27.013,1771.0,1.2561,38.798
5773,0.36323,27.402,1783.9,1.2615,39.277
5774,0.35776,26.839,1423.2,1.2656,38.578
5775,0.33471,25.969,1152.8,1.2629,35.607
5776,0.25192,24.479,817.88,1.1946,24.547
5777,0.16936,22.668,450.8,1.0882,12.554
5778,0.11735,21.066,180.32,0.98936,3.836
5779,0.10005,19.069,19.32,0.88723,-1.2143
5780,0.10005,18.371,0.0,0.93054,-1.7771
5781,0.10005,18.337,0.0,0.99626,-1.7745
5782,0.10005,17.902,0.0,0.95593,-1.741
5783,0.10005,17.563,0.0,0.97543,-1.7153
5784,0.10005,17.097,0.0,0.925,-1.6806
5785,0.10005,16.761,0.0,0.86773,-1.6561
5786,0.10005,17.522,0.0,1.0579,-1.7122
5787,0.10005,17.472,0.0,1.0217,-1.7084
5788,0.10005,16.993,0.0,0.89873,-1.673
5789,0.10045,16.752,57.96,0.80001,0.16789
5790,0.14114,17.784,309.12,0.8598,8.0314
5791,0.217,19.337,676.2,0.9082,19.635
5792,0.29448,21.19,1094.8,0.88143,30.32
5793,0.32244,23.588,1564.9,0.77832,34.009
5794,0.3325,26.48,1886.9,0.58209,35.322
5795,0.33959,28.047,1983.5,0.54233,36.241
5796,0.34301,28.555,1899.8,0.54233,36.683
5797,0.34354,28.536,1751.7,0.5488,36.751
5798,0.34196,27.896,1616.4,0.57914,36.548
5799,0.33209,26.488,1275.1,0.57618,35.27
5800,0.27384,25.199,908.04,0.59661,27.544
5801,0.19155,23.772,553.84,0.56418,15.918
5802,0.12047,21.884,199.64,0.54233,4.4228
5803,0.10005,19.943,25.76,0.54233,-1.0749
5804,0.10005,19.214,0.0,0.54233,-1.844
