,gst (mol/m2s),tleaf(degC),par(micromol/m2),gblc(mol/m2s),An(micromol/m2s)
28018,0.11906,12.253,1172.1,1.5893,4.1562
28019,0.1415,15.137,1783.9,1.6402,8.0918
28020,0.17256,17.078,2112.3,1.665,13.047
28021,0.19277,17.914,2002.8,1.6671,16.1
28022,0.21308,18.581,1880.5,1.6495,19.068
28023,0.20477,18.325,1526.3,1.6191,17.865
28024,0.17659,17.263,1088.4,1.5796,13.665
28025,0.15219,15.943,663.32,1.5188,9.8445
28026,0.12938,13.895,244.72,1.3732,6.0226
28027,0.10005,10.893,19.32,1.2145,-0.69757
28028,0.10005,9.5029,0.0,1.2145,-1.2048
28029,0.10005,8.7911,0.0,1.2131,-1.1678
28030,0.10005,8.035,0.0,1.1314,-1.1298
28031,0.10005,7.1925,0.0,1.0217,-1.0888
28032,0.10005,6.2778,0.0,0.90253,-1.046
28033,0.10005,5.9663,0.0,0.87362,-1.0318
28034,0.10005,5.494,0.0,0.84373,-1.0107
28035,0.10005,5.0179,0.0,0.85181,-0.98984
28036,0.10005,4.7502,25.76,0.91008,-0.23616
28037,0.10642,7.1524,309.12,1.015,1.6386
28038,0.1141,11.038,785.68,1.074,3.2115
28039,0.14263,15.237,1249.4,1.1329,8.2801
28040,0.19616,18.04,1661.5,1.1464,16.602
28041,0.27463,20.041,1996.4,1.1146,27.653
28042,0.30024,21.681,2118.8,1.053,31.085
28043,0.31751,23.157,2247.6,0.97718,33.364
28044,0.32719,23.997,2215.4,0.89873,34.629
28045,0.32932,24.185,2060.8,0.86179,34.906
28046,0.32385,23.706,1777.4,0.86378,34.194
28047,0.31336,22.8,1436.1,0.90631,32.819
28048,0.29786,21.478,1043.3,0.95414,30.77
28049,0.20198,20.435,605.36,0.96662,17.456
28050,0.12576,18.369,225.4,0.78924,5.379
28051,0.10005,14.147,19.32,0.55808,-0.87993
28052,0.10005,12.878,0.0,0.60797,-1.3969
28053,0.10005,11.627,0.0,0.70689,-1.3224
28054,0.10005,10.414,0.0,0.79356,-1.2539
28055,0.10005,9.8111,0.0,0.87166,-1.2212
28056,0.10005,9.4187,0.0,0.92315,-1.2004
28057,0.10005,9.0133,0.0,0.93604,-1.1793
28058,0.10005,8.6789,0.0,0.93237,-1.1621
28059,0.10005,8.4842,0.0,0.93604,-1.1522
28060,0.10005,8.5138,25.76,0.94875,-0.39013
28061,0.11639,11.657,328.44,1.0898,3.6524
28062,0.14528,15.45,792.12,1.1146,8.7185
28063,0.24597,19.444,1242.9,1.03,23.721
28064,0.30229,21.855,1648.6,0.94513,31.357
28065,0.32358,23.683,1990.0,0.83147,34.159
28066,0.33084,25.287,2228.2,0.68973,35.106
28067,0.32947,26.515,2305.5,0.54233,34.927
28068,0.33293,27.046,2318.4,0.54233,35.379
28069,0.33684,26.72,2157.4,0.61913,35.885
28070,0.33846,26.13,1944.9,0.72126,36.094
28071,0.33222,24.987,1590.7,0.7717,35.286
28072,0.32005,23.376,1165.6,0.78707,33.696
28073,0.22406,22.214,701.96,0.79786,20.642
28074,0.13488,20.077,276.92,0.66703,6.9755
28075,0.10005,16.206,19.32,0.64882,-1.0105
28076,0.10005,14.455,0.0,0.67214,-1.4969
28077,0.10005,13.134,0.0,0.66446,-1.4127
28078,0.10005,12.033,0.0,0.65145,-1.3461
28079,0.10005,11.231,0.0,0.65407,-1.2996
28080,0.10005,10.716,0.0,0.65669,-1.2706
28081,0.10005,10.737,0.0,0.65407,-1.2718
28082,0.10005,11.173,0.0,0.63009,-1.2963
28083,0.10005,11.004,0.0,0.56418,-1.2868
28084,0.10005,10.34,25.76,0.54233,-0.47583
28085,0.11712,11.851,225.4,0.54233,3.7915
28086,0.15137,15.908,624.68,0.54233,9.7126
28087,0.26,19.754,998.2,0.8417,25.657
28088,0.31308,22.776,1326.6,0.94332,32.782
28089,0.33631,24.807,1597.1,0.95235,35.814
28090,0.3568,27.257,2221.8,0.98416,38.455
28091,0.36654,28.278,2324.8,1.0234,39.7
28092,0.37208,28.802,2305.5,1.0579,40.404
28093,0.37347,28.876,2183.2,1.0866,40.581
28094,0.3704,28.457,1925.6,1.1146,40.19
28095,0.36348,27.578,1571.4,1.1538,39.311
28096,0.33517,26.393,1152.8,1.2131,35.668
28097,0.22534,25.488,701.96,1.2506,20.824
28098,0.1307,23.27,257.6,1.1192,6.2518
28099,0.10005,18.859,19.32,0.90631,-1.1985
28100,0.10005,17.013,0.0,0.8598,-1.6744
28101,0.10005,15.987,0.0,0.83762,-1.6008
28102,0.10005,15.368,0.0,0.85181,-1.558
28103,0.10005,14.939,0.0,0.83353,-1.529
28104,0.10005,13.858,0.0,0.71171,-1.4582
28105,0.10005,12.132,0.0,0.54233,-1.3519
28106,0.10005,11.105,0.0,0.54233,-1.2925
28107,0.10005,10.15,0.0,0.54233,-1.2395
28108,0.10005,9.7268,19.32,0.54233,-0.63878
28109,0.12131,12.7,231.84,0.75375,4.5739
28110,0.15588,16.188,714.84,0.83558,10.434
28111,0.28435,20.324,1165.6,0.74,28.963
28112,0.32524,24.108,1564.9,0.75375,34.375
28113,0.35029,26.697,1912.7,0.91757,37.62
28114,0.36703,28.194,2093.0,1.0708,39.762
28115,0.37646,29.076,2234.7,1.1359,40.96
28116,0.37529,28.961,2009.3,1.1299,40.811
28117,0.3645,28.123,1693.7,0.99797,39.44
28118,0.18046,25.751,502.32,0.74231,14.254
28119,0.15596,23.904,386.4,0.62737,10.45
28120,0.14698,22.819,341.32,0.72126,8.9965
28121,0.1228,21.737,212.52,0.73769,4.8472
28122,0.10181,20.309,77.28,0.86773,0.55675
28123,0.10005,17.184,12.88,0.69221,-1.2804
28124,0.10005,15.796,0.0,0.54233,-1.5875
28125,0.10005,16.185,0.0,0.70446,-1.6148
28126,0.10005,16.146,0.0,0.98242,-1.612
28127,0.10005,15.557,0.0,0.91757,-1.5709
28128,0.10005,14.748,0.0,0.81274,-1.5162
28129,0.10005,14.254,0.0,0.85381,-1.4837
28130,0.10005,13.942,0.0,0.9157,-1.4636
28131,0.10005,13.823,0.0,0.95593,-1.456
28132,0.10005,13.079,19.32,0.893,-0.81695
28133,0.13647,14.975,283.36,0.98763,7.2452
28134,0.20011,18.177,682.64,1.0692,17.183
28135,0.30155,21.792,1114.1,1.1759,31.26
28136,0.33215,24.436,1519.8,1.241,35.275
28137,0.35133,26.206,1886.9,1.2285,37.755
28138,0.36381,27.549,2144.5,1.1831,39.352
28139,0.37047,28.485,2286.2,1.1069,40.199
28140,0.37035,28.758,2202.5,1.0099,40.185
28141,0.36718,28.813,2125.2,0.89873,39.781
28142,0.35687,28.1,1829.0,0.7914,38.464
28143,0.34534,26.947,1461.9,0.73769,36.984
28144,0.31511,25.649,1075.5,0.76725,33.048
28145,0.20611,25.047,618.24,0.83353,18.059
28146,0.12607,22.64,231.84,0.69468,5.4365
28147,0.10005,18.599,19.32,0.7165,-1.179
28148,0.10005,17.186,0.0,0.81484,-1.6872
28149,0.10005,16.152,0.0,0.87362,-1.6124
28150,0.10005,15.418,0.0,0.96484,-1.5614
28151,0.10005,14.853,0.0,1.0627,-1.5232
28152,0.10005,13.999,0.0,1.0929,-1.4672
28153,0.10005,12.902,0.0,1.074,-1.3984
28154,0.10005,11.893,0.0,1.0432,-1.3379
28155,0.10005,10.904,0.0,0.96307,-1.2811
28156,0.10005,9.9433,25.76,0.84373,-0.45656
28157,0.11966,12.391,199.64,0.82941,4.2735
28158,0.15385,16.064,579.6,0.73769,10.112
28159,0.23831,19.27,908.04,0.7165,22.652
28160,0.30388,21.991,1107.7,1.0579,31.568
28161,0.32731,24.011,1391.0,1.1627,34.649
28162,0.34725,25.815,1725.9,1.1788,37.228
28163,0.35911,27.07,1880.5,1.1538,38.75
28164,0.3708,28.418,2196.0,1.1479,40.241
28165,0.37262,28.539,1996.4,1.1831,40.473
28166,0.37141,28.31,1771.0,1.2272,40.319
28167,0.365,27.59,1461.9,1.2465,39.503
28168,0.31927,26.63,1088.4,1.2327,33.594
28169,0.21068,25.913,637.56,1.1744,18.722
28170,0.12355,23.345,218.96,0.9157,4.9835
28171,0.10005,19.039,19.32,0.72126,-1.2121
28172,0.10005,16.97,0.0,0.58209,-1.6713
28173,0.10005,15.529,0.0,0.54233,-1.569
28174,0.10005,14.783,0.0,0.54233,-1.5185
28175,0.10005,14.011,0.0,0.54233,-1.468
28176,0.10005,13.681,0.0,0.60797,-1.4469
28177,0.10005,13.599,0.0,0.7914,-1.4417
28178,0.10005,13.136,0.0,0.87753,-1.4128
28179,0.10005,12.86,0.0,0.93237,-1.3958
28180,0.10005,13.002,19.32,0.99969,-0.81257
28181,0.12609,15.65,225.4,1.1253,5.4429
28182,0.20846,19.049,637.56,1.1627,18.4
28183,0.31039,22.597,1069.0,1.2061,32.429
28184,0.3437,25.483,1507.0,1.3456,36.771
28185,0.36156,27.229,1893.4,1.3042,39.066
28186,0.37483,28.706,2183.2,1.2383,40.753
28187,0.37906,29.234,2009.3,1.2103,41.288
28188,0.38091,29.479,1777.4,1.2159,41.523
28189,0.38353,29.839,1764.6,1.2313,41.852
28190,0.3838,29.879,1758.1,1.2216,41.887
28191,0.37584,28.893,1371.7,1.1831,40.881
28192,0.28212,28.207,933.8,1.1115,28.662
28193,0.18045,27.462,502.32,0.95772,14.253
28194,0.12323,24.477,218.96,0.62189,4.9261
28195,0.10005,20.94,19.32,0.60515,-1.3628
28196,0.10005,19.538,0.0,0.74461,-1.8703
28197,0.10005,18.437,0.0,0.90253,-1.7823
28198,0.10005,17.292,0.0,0.9859,-1.6951
28199,0.10005,15.503,0.0,0.92315,-1.5672
28200,0.10005,13.848,0.0,0.82735,-1.4576
28201,0.10005,13.033,0.0,0.82112,-1.4064
28202,0.10005,12.717,0.0,0.85781,-1.3871
28203,0.10005,11.957,0.0,0.89108,-1.3417
28204,0.10005,11.287,25.76,0.9157,-0.52339
28205,0.12218,12.852,238.28,0.93237,4.7369
28206,0.1511,15.879,644.0,0.79572,9.6682
28207,0.25331,19.611,1036.8,0.86378,24.737
28208,0.31543,22.978,1487.6,0.92315,33.092
28209,0.34051,25.536,1893.4,0.89682,36.36
28210,0.35287,27.357,2163.8,0.83762,37.951
28211,0.35706,28.4,2202.5,0.74691,38.488
28212,0.35417,28.695,2054.4,0.66188,38.118
28213,0.35303,29.006,2015.7,0.61636,37.972
28214,0.34983,28.509,1822.5,0.62189,37.562
28215,0.34592,27.115,1384.6,0.72363,37.058
28216,0.24823,26.141,798.56,0.86179,24.035
28217,0.16522,25.758,431.48,1.0383,11.911
28218,0.11209,24.199,154.56,1.1583,2.817
28219,0.10005,21.535,19.32,1.2963,-1.4129
28220,0.10005,19.258,0.0,1.4028,-1.8476
28221,0.10005,17.15,0.0,1.3869,-1.6845
28222,0.10005,15.656,0.0,1.3276,-1.5777
28223,0.10005,14.249,0.0,1.3366,-1.4834
28224,0.10005,12.525,0.0,1.3081,-1.3754
28225,0.10005,10.841,0.0,1.2506,-1.2776
28226,0.10005,9.5884,0.0,1.186,-1.2094
28227,0.10005,8.7055,0.0,1.1115,-1.1635
28228,0.10005,7.9524,19.32,0.98242,-0.55535
28229,0.10946,9.2532,212.52,1.0234,2.284
28230,0.11816,12.074,618.24,1.0803,3.9934
28231,0.1406,15.066,1069.0,1.0014,7.9409
28232,0.19548,18.019,1564.9,0.96484,16.501
28233,0.26399,19.833,1893.4,0.99969,26.203
28234,0.29338,21.097,2157.4,1.0851,30.173
28235,0.301,21.745,2221.8,1.1583,31.186
28236,0.30199,21.829,2028.6,1.1642,31.317
28237,0.28901,20.724,1288.0,1.1434,29.59
28238,0.28647,20.507,1075.5,1.1038,29.249
28239,0.26841,20.135,901.6,1.0708,26.808
28240,0.21145,19.512,650.44,1.0367,18.834
28241,0.16246,18.34,418.6,1.074,11.479
28242,0.10119,16.417,64.4,1.096,0.3896
28243,0.10005,13.785,12.88,0.95235,-1.0566
28244,0.10005,12.315,0.0,0.91943,-1.3629
28245,0.10005,11.438,0.0,0.93054,-1.3115
28246,0.10005,10.42,0.0,0.87166,-1.2543
28247,0.10005,9.5267,0.0,0.78271,-1.2061
28248,0.10005,8.8489,0.0,0.69959,-1.1708
28249,0.10005,8.6929,0.0,0.65145,-1.1628
28250,0.10005,8.9716,0.0,0.70689,-1.1771
28251,0.10005,8.8596,0.0,0.73769,-1.1713
28252,0.10005,8.9946,12.88,0.88916,-0.79506
28253,0.10961,9.3272,154.56,1.0014,2.314
28254,0.11097,9.9532,405.72,0.97367,2.5949
28255,0.11386,10.973,553.84,0.88143,3.167
28256,0.13103,14.1,1094.8,0.87948,6.3079
28257,0.16994,16.958,1223.6,1.0317,12.644
28258,0.22135,18.825,1339.5,1.0579,20.255
28259,0.23943,19.29,1127.0,1.0756,22.809
28260,0.24383,19.394,1217.2,1.0851,23.423
28261,0.1946,17.985,798.56,1.0929,16.371
28262,0.17891,17.369,502.32,1.0882,14.017
28263,0.18071,17.447,553.84,1.025,14.291
28264,0.18545,17.643,605.36,0.91196,15.006
28265,0.16104,16.89,412.16,0.93604,11.254
28266,0.11952,15.434,186.76,0.96838,4.2482
28267,0.10005,12.194,19.32,0.67973,-0.76713
28268,0.10005,10.418,0.0,0.54233,-1.2541
28269,0.10005,9.7279,0.0,0.54233,-1.2168
28270,0.10005,8.8255,0.0,0.54233,-1.1696
28271,0.10005,8.2707,0.0,0.54233,-1.1415
28272,0.10005,7.7312,0.0,0.54233,-1.1148
28273,0.10005,7.3994,0.0,0.54233,-1.0987
28274,0.10005,7.2321,0.0,0.6355,-1.0907
28275,0.10005,6.8425,0.0,0.73303,-1.0722
28276,0.10005,6.6554,25.76,0.78924,-0.31049
28277,0.11118,10.038,283.36,0.89491,2.6359
28278,0.13268,14.288,753.48,0.97367,6.5955
28279,0.2051,18.348,1152.8,0.72363,17.913
28280,0.29507,21.24,1532.7,0.67721,30.398
28281,0.31649,23.715,1970.6,0.61913,33.23
28282,0.32733,25.269,2189.6,0.62737,34.65
28283,0.33913,26.269,2299.1,0.71411,36.182
28284,0.34718,26.779,2286.2,0.80852,37.219
28285,0.34888,26.68,2073.7,0.87753,37.44
28286,0.34715,26.163,1751.7,0.95772,37.215
28287,0.34043,25.181,1320.2,1.0267,36.348
28288,0.2794,24.336,933.8,1.0676,28.295
28289,0.19293,23.567,560.28,1.0627,16.123
28290,0.11954,21.148,193.2,0.8417,4.2481
28291,0.10005,16.647,19.32,0.6355,-1.0402
28292,0.10005,15.516,0.0,0.6355,-1.5681
28293,0.10005,15.298,0.0,0.65669,-1.5532
28294,0.10005,15.22,0.0,0.71889,-1.5479
28295,0.10005,14.906,0.0,0.81484,-1.5267
28296,0.10005,14.443,0.0,0.9157,-1.4961
28297,0.10005,13.816,0.0,0.96307,-1.4555
28298,0.10005,12.627,0.0,0.90631,-1.3816
28299,0.10005,11.918,0.0,0.93604,-1.3393
28300,0.10005,11.981,19.32,1.0082,-0.75548
28301,0.1146,13.313,154.56,1.0976,3.3144
28302,0.14979,15.784,540.96,1.0929,9.4573
28303,0.23454,19.169,927.36,1.1329,22.123
28304,0.30585,22.159,1384.6,1.1023,31.829
28305,0.32648,23.936,1590.7,1.0367,34.539
28306,0.33328,24.536,1519.8,0.96838,35.422
28307,0.3297,24.294,1159.2,0.84778,34.958
28308,0.30423,24.229,1036.8,0.70203,31.614
28309,0.32261,23.97,1172.1,0.71171,34.033
28310,0.24483,22.583,792.12,1.0031,23.564
28311,0.17063,21.261,457.24,1.0579,12.748
28312,0.11967,20.604,193.2,1.0014,4.2721
28313,0.13859,19.47,296.24,0.87166,7.6039
28314,0.12475,17.369,218.96,0.59373,5.2028
28315,0.10005,15.688,12.88,0.62189,-1.1776
28316,0.10005,14.494,0.0,0.63818,-1.4994
28317,0.10005,13.597,0.0,0.60797,-1.4416
28318,0.10005,12.742,0.0,0.5488,-1.3886
28319,0.10005,12.287,0.0,0.54233,-1.3612
28320,0.10005,12.459,0.0,0.58209,-1.3715
28321,0.10005,12.064,0.0,0.66959,-1.3479
28322,0.10005,11.425,0.0,0.68973,-1.3107
28323,0.10005,11.027,0.0,0.71889,-1.288
28324,0.10005,10.931,19.32,0.75828,-0.69955
28325,0.12366,13.094,264.04,0.93786,5.0021
28326,0.1557,16.175,701.96,0.96129,10.406
28327,0.24411,19.403,1152.8,0.93969,23.463
28328,0.30312,21.926,1564.9,0.89491,31.468
28329,0.32729,24.007,1906.2,0.88916,34.643
28330,0.33863,25.18,2028.6,0.92869,36.117
28331,0.34088,25.263,1803.2,0.99454,36.408
28332,0.34575,25.676,1867.6,1.0787,37.038
28333,0.34272,25.392,1738.8,1.1207,36.644
28334,0.33746,24.913,1590.7,1.0929,35.966
28335,0.33008,24.253,1442.6,1.0317,35.007
28336,0.30617,23.023,1049.7,0.96129,31.871
28337,0.20532,22.066,618.24,0.90442,17.944
28338,0.12653,20.518,231.84,0.71411,5.5177
28339,0.10005,17.616,19.32,0.59947,-1.1075
28340,0.10005,16.672,0.0,0.70446,-1.6496
28341,0.10005,16.035,0.0,0.83558,-1.6042
28342,0.10005,14.898,0.0,0.85581,-1.5262
28343,0.10005,13.583,0.0,0.75602,-1.4407
28344,0.10005,12.474,0.0,0.6355,-1.3724
28345,0.10005,11.405,0.0,0.54233,-1.3096
28346,0.10005,10.282,0.0,0.54233,-1.2467
28347,0.10005,9.4677,0.0,0.54233,-1.203
28348,0.10005,9.2054,19.32,0.54233,-0.61353
28349,0.11851,12.156,283.36,0.67214,4.0553
28350,0.14675,15.577,727.72,0.54233,8.9572
28351,0.2483,19.511,1185.0,0.54233,24.045
28352,0.30978,22.493,1597.1,0.70446,32.346
28353,0.33229,24.723,1938.4,0.82941,35.296
28354,0.3474,26.317,2176.7,0.92315,37.249
28355,0.35593,27.211,2228.2,0.96662,38.344
28356,0.36158,27.82,2254.0,0.9859,39.066
28357,0.36099,27.636,2054.4,1.0217,38.991
28358,0.35728,27.188,1822.5,1.025,38.517
28359,0.3484,26.214,1481.2,0.99109,37.378
28360,0.26889,24.777,888.72,0.93237,26.876
